id_indikator,kategori,nomor,nama_indikator,nama_asli,kelompok,arah_pembangunan,satuan,penghasil,kl_pengampu,opd_penanggung_jawab,tim_pjk,status_ketersediaan,status_metadata,periode_data,tahun_terakhir,is_proxy,nama_proxy,status_rpjmd,kode_sdgs,link_metadata,link_publikasi,link_data,catatan_teknis
ISV-01,ISV,1,GNI per kapita,GNI per kapita,Peningkatan Pendapatan per Kapita,,,,Kementerian PPN/Bappenas,Setda-Biro Ekonomi,Nerwilis,Tersedia Nasional,Tersedia,Tahunan,2025,1,PDRB per kapita,TIDAK_MASUK_RPJMD,,,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD?locations=ID,Proxy ISV 1.csv,Indikator Proxy: PDRB per kapita; Tersedia hingga kabupaten/kota
ISV-02,ISV,2,Kontribusi PDB Maritim(%),Kontribusi PDB Maritim(%),Peningkatan Pendapatan per Kapita,,%,Kementerian Koordinator Bidang Kemaritiman dan Investasi BPS,"Pengampu indikator belum diputuskan oleh Bappenas, merupakan K/L yang terkait fungsi dalam pencapaian Sektor Maritim",Dinas Perikanan dan Kelautan,Nerwilis,Tidak Tersedia,Tersedia,Tahunan,2023,1,Indeks Ekonomi Biru,TIDAK_MASUK_RPJMD,,,https://cdn.theconversation.com/static_files/files/1186/PUBLIKASI_PDB_MARITIM_FINAL_Oktober_2017%281%29.pdf?1598524965 https://www.scribd.com/document/763026941/LAPORAN-PDB-MARITIM-2017-2021-Updated,https://data.go.id/dataset/dataset/kontribusi-pdb-maritim-terhadap-pdb-nasional-menurut-cluster-atas-dasar-harga-berlaku,Indikator Proxy: Indeks Ekonomi Biru; Tersedia hingga tingkat provinsi
ISV-03,ISV,3,Kontribusi PDB industri Manufaktur(%),Kontribusi PDB industri Manufaktur(%),Peningkatan Pendapatan per Kapita,,%,,Kementerian Perindustrian,Dinas Perindustrian dan Perdagangan,Nerwilis,Tersedia s.d Kabupaten/Kota,Tidak Tersedia,Tahunan,2025,1,Kontribusi PDRB Sektor Sekunder (Triwulanan),DOBEL_ISV_IUP,Indikator 9.2.1* Rasio PDB industri pengolahan dan nilai tambah industri pengolahan per kapita,,https://web-api.bps.go.id/download.php?f=M6H6+xb+JEsFbxpH28ZvZXAvak5ScExlTm9Fc0U3VVVxNkVtNldPai9IS254UTh6aWVWcmprL3YxZEJZUWtuSUVwWnFlRmd5eUt0R1ZVSmFnNGp5M0dnREdQZHE2MlZ6ZkE3WFVWeGNER0RPdXduK1Q4OWFJZUx4Z2I5UmYzQWRtQWdjNlZHN2xhTFJNbUo2N1NNZ1RYNkxPeFNWTklsdWFlblB0Z09Camhpc3h6S3FDelFUYlpXQnRNa3pRWXdXZmVlTzRJczY1elJRZFhiNVNHL1lac1ZNbTRmY0FEckNFcUU3SGsyOWJ1TEtxZlpvZWFRWkhSUU50MjNRM2hlM2dEL2dPT3RKSkljdnlsTlM1aDJrZzFZMzRNUWRwZjhQNnVFcFlnPT0=&_gl=1*1st8vvv*_ga*MzczNTkwNDAyLjE3NTg1NDQ5MTQ.*_ga_XXTTVXWHDB*czE3NzA2ODg2NTckbzY5JGcxJHQxNzcwNjkwMjY5JGozOSRsMCRoMA.,https://www.bps.go.id/id/statistics-table/2/MTIxNiMy/laju-pertumbuhan-pdb-industri-manufaktur.html,Indikator Proxy: Kontribusi PDRB Sektor Sekunder (Triwulanan); Tersedia hingga kabupaten/kota
ISV-04,ISV,4,Persentase Penduduk yang Hidup di Bawah Garis Kemiskinan Nasional,Tingkat kemiskinan,Pengentasan Kemiskinan dan Ketimpangan,,,,BPS,Dinas Sosial,Sosial,Tersedia s.d Kabupaten/Kota,Tersedia,Semesteran,2025,0,,DOBEL_ISV_IUP,"1.2.1* Persentase penduduk yang hidup di bawah garis kemiskinan nasional, menurut jenis kelamin dan kelompok umur",https://sirusa.web.bps.go.id/metadata/indikator/46113,,https://docs.google.com/spreadsheets/d/1iLxf9omlEdU-HVozKx9CrMzIkB0QLdWe/edit?usp=sharing&ouid=116167848821916757688&rtpof=true&sd=true,
ISV-05,ISV,5,Rasio gini,Rasio gini,Pengentasan Kemiskinan dan Ketimpangan,,rasio,,BPS,BAPPEDA,Sosial,Tersedia s.d Kabupaten/Kota,Tersedia,Semesteran,2025,0,,TIDAK_MASUK_RPJMD,Indikator 10.1.1(a) Rasio Gini,,https://web-api.bps.go.id/download.php?f=VeT2lNCuk7lg+OMbjS6KpFhqc2hUdkdoVGZDTnhQcThhaHBMczIzWTE2YS8yN2toT1ZKRDREdnliVmtVL3BEWjJYWWIybGVwNlBWR2twaVdQeERpZ2drMjJEaVRwOUhvVHRvZGpiTDB6K2lSbEExUmtLWkV5R09OalQwaGo2MC9TdXFvSjE0djd1YlN1UnI2WkNFVGdRdHVlVTVMRkF1YzRxbDljS293U3R4UmU3elZLZ3EvcmZhU1RnS3FQd2pQdXdVYU5lZzRsU3BYTnh4NVFleVRXWlpDdTdpUkUrL3h2SnZOL0M2b3VWWnoxRVhiZDVrWnlmRXlEK3MxS3VQQkJISzgyenhXckZOUEhXUm1WRWhyaUgyZXBMOEhvS3JuemJDUFY5WDg2K3JudUl4M1dMSEMxdyt4TFM0PQ==&_gl=1*1xwbifc*_ga*MzczNTkwNDAyLjE3NTg1NDQ5MTQ.*_ga_XXTTVXWHDB*czE3NzA2ODg2NTckbzY5JGcxJHQxNzcwNjkxNTIwJGo1NiRsMCRoMA..,https://www.bps.go.id/id/statistics-table/2/OTgjMg==/gini-ratio-menurut-provinsi-dan-daerah.html,
ISV-06,ISV,6,Kontribusi PDRB KTI,Kontribusi PDRB KTI,Pengentasan Kemiskinan dan Ketimpangan,,,,Menunggu Keputusan dari Bappenas,Setda-Biro Ekonomi,Nerwilis,Tidak Tersedia,Tidak Tersedia,Tahunan,2025,1,Kontribusi PDRB Provinsi (dijaga dengan target growth),TIDAK_MASUK_RPJMD,,PDRB: https://www.bps.go.id/id/statistics-table/2/NTM0IzI=/-seri-2010--1--pdrb-atas-dasar-harga-berlaku-menurut-pengeluaran--milyar-rupiah-.html,Selama ini belum,,Kontribusi PDB KTI bisa dihitung jika sudah rilis PDRB Kab/Kota (selama ini bisa dihitung langsung oleh DNP) Indikator Proxy: Kontribusi PDRB Provinsi (dijaga dengan target growth)
ISV-07,ISV,7,Global Power Index,Global Power Index,Kepemimpinan dan Pengaruh di Dunia Internasional Meningkat,,,Pareto Economics,Kementerian PPN/Bappenas,BAPPEDA,Nerwilis,Tidak Tersedia,Tersedia,Tahunan,2025,1,Indeks Daya Saing Daerah,TIDAK_MASUK_RPJMD,,,,,https://www.pareto-economics.com/global-power-index.html sudah request access untuk dashboardnya
ISV-08,ISV,8,Indeks Modal Manusia,Indeks Modal Manusia,Daya saing sumber daya manusia meningkat,,indeks,,Kementerian PPN/Bappenas,BAPPEDA,Sosial,Tersedia Nasional,Tersedia,Tahunan,,1,Indeks Pembangunan Manusia,MASUK_TAPI_BELUM_ADA_DATA,,,,2010 0.8278358578681946 2018 0.8461430668830872 2020 0.8497079610824585,https://data360.worldbank.org/en/dataset/WB_HCI Indonesia belum pernah menghitung indeks modal manusia Indikator Proxy: Indeks Pembangunan Manusia
ISV-09,ISV,9,intensitas emisi GRK,Penurunan intensitas emisi GRK,Penurunan Emisi GRK menuju net zero emission,,,Kementerian Lingkungan Hidup,Kementerian PPN/Bappenas Kementerian Lingkungan Hidup BPS,Dinas Lingkungan Hidup,Sosial,Tersedia s.d Provinsi,Tersedia,Tahunan,2023,0,,MASUK_RPJMD,9.4.1,https://sirusa.web.bps.go.id/metadata/indikator/38331,publikasi SDGs,https://www.bps.go.id/id/statistics-table/1/MjA3MiMx/emisi-gas-rumah-kaca-menurut-jenis-sektor--ribu-ton-co2e---2000-2019.html,
ISV-10,ISV,10,Indeks Kualitas Lingkungan Hidup,Indeks Kualitas Lingkungan Hidup,Penurunan Emisi GRK menuju net zero emission,,indeks,,Kementeria Lingkungan Hidup,Dinas Lingkungan Hidup,Sosial,Tersedia s.d Kabupaten/Kota,Tersedia,Tahunan,2025,0,,TIDAK_MASUK_RPJMD,"Indikator 8.4.1(a) Rencana dan implementasi Strategi Pelaksanaan Sasaran Pola Konsumsi dan Produksi Berkelanjutan Konsep indikator global untuk target ini adalah melakukan kuantifikasi dan pemantauan atas perkembangan siklus kebijakan yang dibuat oleh negara-negara dalam menyusun instrumen kebijakan yang mengikat dan tidak mengikat, untuk mendukung perubahan menuju ke produksi dan konsumsi berkelanjutan. Indonesia, di bawah koordinasi Kementerian Lingkungan Hidup dan Kehutanan bersama dengan berbagai pihak, telah menyusun dan mengembangkan dokumen Kerangka Kerja 10 tahun Program Produksi dan Konsumsi Berkelanjutan (10YFP SCP).",,https://web-api.bps.go.id/download.php?f=OvjcO0MhAxndIOd7Oglj/0NFODVBTWlneUtjY05mZHVsdGNUQmsxVEFxOWUrKzZ1YmtPUmlEYzlwSXJ0YVdEWGZTbW85QldZY0RNYk5EN0lOdVJTTEljM0d2Q0M5UERsdHZvTlVRSjJRM0dZYWkycE5xOUk2Y0k4emFEN2RhdE9rOUw2OFRoVUVqSSs3WDRCWXJONFcybW1aSVZUWjhYditmWmVWYzh3MEVyeC9zdnRtSU5oNTlnUllDUFlOZ29NMEdkbjJlLzhGOXI5c3NEM1ZzZFZGTUM0TTEvZC9pZWMxOGZZc3dRak5IcVVGeTBEaEhDb1MzN1oxeU9HRkFieGFJb2ZCZXBYTTgxYlMxeGQwYWxzemY0U1hIK2N4bXZza3FrWW5nPT0=&_gl=1*1yrakoe*_ga*MzczNTkwNDAyLjE3NTg1NDQ5MTQ.*_ga_XXTTVXWHDB*czE3NzA2OTM1OTAkbzcwJGcxJHQxNzcwNjkzODc1JGo1NyRsMCRoMA..,https://www.bps.go.id/id/statistics-table/2/MjUzMSMy/indeks-kualitas-lingkungan-hidup-menurut-provinsi.html,
IUP-01,IUP,1,Usia Harapan Hidup,Usia Harapan Hidup,Transformasi Sosial,Kesehatan untuk Semua,,BPS,Kementerian Kesehatan,Dinas Kesehatan,Sosial,Tersedia s.d Kabupaten/Kota,Tersedia,Tahunan,2025,0,,MASUK_RPJMD,,(2024) https://sirusa.web.bps.go.id/metadata/indikator/43093,,"Badan Pusat Statistik Indonesia. (5 November 2025). [Metode Baru] Umur Harapan Hidup Saat Lahir (UHH) Hasil Long Form SP2020, 2025. Diakses pada 9 Februari 2026, dari https://www.bps.go.id/id/statistics-table/2/MjIwNiMy/-metode-baru--umur-harapan-hidup-saat-lahir--uhh--hasil-long-form-sp2020--tahun-.html",
IUP-02,IUP,2,Kesehatan Ibu dan Anak: Angka Kematian Ibu,Kesehatan Ibu dan Anak: Angka Kematian Ibu,Transformasi Sosial,Kesehatan untuk Semua,,BPS,Kementerian Kesehatan,Dinas Kesehatan,Sosial,Tersedia s.d Kabupaten/Kota,Tersedia,Tahunan,2025,0,,MASUK_RPJMD,,(2023) https://sirusa.web.bps.go.id/metadata/indikator/48470 Metadata Ada disini Nomor 2a https://drive.google.com/drive/folders/1bL0VYlLQayyiyu9GsR1cYf6pBZSRb_IE,AKI DKI Jakarta https://drive.google.com/file/d/1Q4IZGL-Y0JPIlVvOCgmL4zhdGVjKw4GR/view AKI Kota Semarang https://profil-kesehatan.dinkes.semarangkota.go.id/upload/publication/Profil%20Kesehatan%202022.pdf,,Angka Kematian Ibu tersedia dari Sensus Penduudk dan Supas (10 Tahunan). Tapi dari Dinas Kesehatan Provinsi dan Kabupaten/Kota tersedia per tahun
IUP-03,IUP,3,Kesehatan Ibu dan Anak: Prevalensi stunting (pendek dan sangat pendek) pada balita,Kesehatan Ibu dan Anak: Prevalensi stunting (pendek dan sangat pendek) pada balita,Transformasi Sosial,Kesehatan untuk Semua,pendek dan sangat pendek,Kementerian Kesehatan,Kementerian Kesehatan,Dinas Kesehatan,Sosial,Tersedia s.d Provinsi,Tersedia,Tahunan,2025,0,,MASUK_RPJMD,2.2.1 Prevalensi stunting (pendek dan sangat pendek) pada anak di bawah lima tahun/ balita,(2023) https://sirusa.web.bps.go.id/metadata/indikator/45665 Sesuai Buku Metadata Pilar Sosial Edisi II 2023 SDGs: https://license365bps-my.sharepoint.com/:b:/g/personal/rifky_ariyadi_license365bps_onmicrosoft_com/IQBi6msQP9OXR7It1eJX1FVvAXLRTuV9OvVnQu25itPObRA?e=PaCiW1,(2025) https://www.bps.go.id/id/publication/2025/12/30/8ffdc46aa817bf0c4c47e105/indikator-tujuan-pembangunan-berkelanjutan-indonesia-2025.html,https://www.bps.go.id/id/statistics-table/2/MTUzMSMy/prevalensi-balita-sangat-pendek-dan-pendek-menurut-kabupaten-kota-tahun-2018--persen-.html,Indikator merupakan indikator SDGs
IUP-04,IUP,4,Insidensi Tuberkulosis (per 100.000 penduduk),Insidensi Tuberkulosis (per 100.000 penduduk),Transformasi Sosial,Kesehatan untuk Semua,per 100.000 penduduk,Kementerian Kesehatan,Kementerian Kesehatan,Dinas Kesehatan,Sosial,Tersedia Nasional,Tersedia,Tahunan,2024,1,,MASUK_RPJMD,"3.3.2 Tuberculosis incidence per 100,000 population",,https://iris.who.int/server/api/core/bitstreams/e97dd6f4-b567-4396-8680-717bac6869a9/content,https://worldhealthorg.shinyapps.io/tb_profiles/?_inputs_&tab=%22charts%22&lan=%22EN%22&iso3=%22IDN%22&entity_type=%22country%22,Indikator Proxy (untuk level provinsi): 3a. Cakupan penemuan kasus TBC 3b. Angka keberhasilan pengobatan TBC (belum ada metadata untuk keduanya)
IUP-05,IUP,5,Persentase Penduduk yang Memiliki Jaminan Kesehatan Nasional (JKN),Cakupan kepesertaan jaminan kesehatan nasional,Transformasi Sosial,Kesehatan untuk Semua,JKN,Kementerian Kesehatan,BPJS Kesehatan,BPJS,Sosial,Tersedia Nasional,Tersedia,Tahunan,2024,0,,MASUK_RPJMD,,,,Proxy IUP 4 Persentase Penduduk yang Memiliki Jaminan Kesehatan Nasional (JKN) Menurut Provinsi.csv,Menggunakan data Susenas: Persentase Penduduk yang Memiliki Jaminan Kesehatan Nasional (JKN) Menurut Provinsi
