id_indikator,tahun,jenis,nilai,sumber_sheet
ISV-01,2025,target,227.1,Rakor ISV IUP Kaltara 202607
ISV-01,2026,target,251.15,Rakor ISV IUP Kaltara 202607
ISV-01,2027,target,275.2,Rakor ISV IUP Kaltara 202607
ISV-01,2028,target,299.25,Rakor ISV IUP Kaltara 202607
ISV-01,2029,target,323.3,Rakor ISV IUP Kaltara 202607
ISV-01,2045,target,1612.75,Rakor ISV IUP Kaltara 202607
ISV-01,2021,realisasi,157.09,Rakor ISV IUP Kaltara 202607
ISV-01,2022,realisasi,192.59,Rakor ISV IUP Kaltara 202607
ISV-01,2023,realisasi,201.79,Rakor ISV IUP Kaltara 202607
ISV-01,2024,realisasi,198.68,Rakor ISV IUP Kaltara 202607
ISV-01,2025,realisasi,208.21,Rakor ISV IUP Kaltara 202607
ISV-02,2025,target,36.59,Rakor ISV IUP Kaltara 202607
ISV-02,2026,target,37.82,Rakor ISV IUP Kaltara 202607
ISV-02,2027,target,40.05,Rakor ISV IUP Kaltara 202607
ISV-02,2028,target,41.28,Rakor ISV IUP Kaltara 202607
ISV-02,2029,target,42.51,Rakor ISV IUP Kaltara 202607
ISV-02,2045,target,44.83,Rakor ISV IUP Kaltara 202607
ISV-02,2024,realisasi,33.47,Rakor ISV IUP Kaltara 202607
ISV-03,2025,target,8.63,Rakor ISV IUP Kaltara 202607
ISV-03,2026,target,9.11,Rakor ISV IUP Kaltara 202607
ISV-03,2027,target,9.83,Rakor ISV IUP Kaltara 202607
ISV-03,2028,target,10.55,Rakor ISV IUP Kaltara 202607
ISV-03,2029,target,11.91,Rakor ISV IUP Kaltara 202607
ISV-03,2045,target,25.26,Rakor ISV IUP Kaltara 202607
ISV-03,2021,realisasi,8.9,Rakor ISV IUP Kaltara 202607
ISV-03,2022,realisasi,7.77,Rakor ISV IUP Kaltara 202607
ISV-03,2023,realisasi,7.69,Rakor ISV IUP Kaltara 202607
ISV-03,2024,realisasi,8.27,Rakor ISV IUP Kaltara 202607
ISV-03,2025,realisasi,8.75,Rakor ISV IUP Kaltara 202607
ISV-04,2025,target,5.07,Rakor ISV IUP Kaltara 202607
ISV-04,2026,target,5.0,Rakor ISV IUP Kaltara 202607
ISV-04,2027,target,4.2,Rakor ISV IUP Kaltara 202607
ISV-04,2028,target,3.77,Rakor ISV IUP Kaltara 202607
